OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,BedroomAbvGr,GarageCars,SalePrice
7,1710,2003,856,2,3,2,208500
6,1262,1976,1262,2,3,2,181500
8,1786,2001,920,2,3,2,223500
5,1717,1915,756,1,3,3,140000
7,2198,2000,1145,2,4,3,250000
9,2828,2004,796,2,3,3,430000
4,1350,1973,1686,1,3,2,129900
6,1107,1931,1107,1,2,1,118000
8,2062,2005,1053,2,3,3,345000
5,1077,1939,991,1,2,1,132000
7,1515,1965,384,1,3,1,129500
6,1360,1970,1234,1,3,2,185000
9,2200,2006,1200,2,4,3,310000
4,900,1950,800,1,2,1,100000
8,1900,2002,1000,2,3,2,270000
7,1600,1998,900,2,3,2,220000
5,1200,1960,700,1,2,1,125000
6,1450,1980,1100,2,3,2,175000
8,2100,2007,1050,2,3,3,350000
7,1750,1995,950,2,3,2,230000
